"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DUHUFEQ9","thesis","2010","Caballero Espinoza, Ángela María","La virgen de Copacabana. Construcción de identidades de género en torno al imaginario de una mujer madre en los Andes","","","","","","","2010","2021-08-29 02:19:21","2021-08-29 02:20:33","","","","","","","","La virgen de Copacabana","","","","","Universidad Mayor de San Andrés","La Paz","es","","Tesis de Maestría","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCM3ES9Z","thesis","2013","Oporto Ordóñez, Luis","La construcción de la bibliografía nacional. Historia de las bibliotecas en Bolivia","","","","","","","2013","2021-08-29 02:20:38","2021-08-29 02:21:12","","","","","","","","La construcción de la bibliografía nacional","","","","","Universidad Mayor de San Andrés","La Paz","es","","Tesis de Maestría","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVSVCILH","thesis","2020","Chuquimia Meave, Franz Solano; Cajías de la Vega, Fernando","De Huarina a Yungay. Creación, vigencia y colapso de la Confederación Perú-Boliviana","","","","","","","2020","2021-08-30 00:23:14","2021-08-30 00:25:00","","","","","","","","De Huarina a Yungay","","","","","Universidad Mayor de San Andrés","La Paz","es","","Tesis de Maestría","","","","","","","","","","","","","","Cajías de la Vega, Fernando","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCEFZVYS","thesis","2014","Fernández Quisbert, Ramiro; Mamani Condori, Carlos","La Guerra Indígena contra el Estado oligárquico en el departamento de La Paz en su IV Centenario de fundación 1946-1948","","","","","","","2014","2022-01-24 18:34:40","2022-01-24 18:36:37","","","","","","","","La Guerra Indígena","","","","","Universidad Mayor de San Andrés","La Paz","es","","Tesis de Maestría","","","","","","","","","","","","","","Mamani Condori, Carlos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34M5S65K","thesis","2014","Chuquimia Bonifaz, Fernando; Jauregui Cordero, Juan Heriberto","El aporte de Juan Siles Guevara a la historiografía boliviana 1960-1990","","","","","","","2014","2022-01-24 18:35:51","2022-01-24 19:33:42","","","","","","","","La Guerra Indígena","","","","","Universidad Mayor de San Andrés","La Paz","es","","Tesis de Maestría","","","","","","","","","","","","","","Jauregui Cordero, Juan Heriberto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
